,Unnamed: 0,cnd,sub,cue,block,level_4,p,nll,bic,model,best_model
201,201,cj2cr,1,1,3,2,49.999024848540955,45.74950611269247,105.6545088392702,nll_gcc_eq_1,nll_uniy_1
202,202,cj2cr,1,1,3,0,35.95981006492092,45.556559336488206,105.26861528686169,nll_gcc_eq_2,nll_uniy_1
203,203,cj2cr,1,1,3,1,99.93472728975406,45.556559336488206,105.26861528686169,nll_gcc_eq_2,nll_uniy_1
204,204,cj2cr,1,1,3,2,49.988551317897816,45.556559336488206,105.26861528686169,nll_gcc_eq_2,nll_uniy_1
205,205,cj2cr,1,1,3,0,65.16118271291617,45.75061791282404,105.65673243953337,nll_gcc_eq_3,nll_uniy_1
206,206,cj2cr,1,1,3,1,99.97410341196415,45.75061791282404,105.65673243953337,nll_gcc_eq_3,nll_uniy_1
207,207,cj2cr,1,1,3,2,49.990726320684644,45.75061791282404,105.65673243953337,nll_gcc_eq_3,nll_uniy_1
208,208,cj2cr,1,1,4,0,50.266362883655574,45.01127585081956,99.45954944422931,nll_unix_0,nll_uniy_0
209,209,cj2cr,1,1,4,1,49.9984549574495,45.01127585081956,99.45954944422931,nll_unix_0,nll_uniy_0
210,210,cj2cr,1,1,4,0,49.24219813136686,45.36036472257479,100.1577271877398,nll_unix_1,nll_uniy_0
211,211,cj2cr,1,1,4,1,49.995684883017304,45.36036472257479,100.1577271877398,nll_unix_1,nll_uniy_0
212,212,cj2cr,1,1,4,0,49.19660986143332,44.020846735087055,97.4786912127643,nll_uniy_0,nll_uniy_0
213,213,cj2cr,1,1,4,1,49.99648479610719,44.020846735087055,97.4786912127643,nll_uniy_0,nll_uniy_0
214,214,cj2cr,1,1,4,0,50.29815254653928,46.37133932904715,102.17967640068451,nll_uniy_1,nll_uniy_0
215,215,cj2cr,1,1,4,1,49.9787393446867,46.37133932904715,102.17967640068451,nll_uniy_1,nll_uniy_0
216,216,cj2cr,1,1,4,0,0.2022941650230188,43.99372708541853,102.14295078472237,nll_glc_0,nll_uniy_0
217,217,cj2cr,1,1,4,1,-58.141555402831656,43.99372708541853,102.14295078472237,nll_glc_0,nll_uniy_0
218,218,cj2cr,1,1,4,2,49.998717763201675,43.99372708541853,102.14295078472237,nll_glc_0,nll_uniy_0
219,219,cj2cr,1,1,4,0,-0.9999749865726868,45.02061971485809,104.19673604360143,nll_glc_1,nll_uniy_0
220,220,cj2cr,1,1,4,1,50.37389903804709,45.02061971485809,104.19673604360143,nll_glc_1,nll_uniy_0
221,221,cj2cr,1,1,4,2,49.99927927472004,45.02061971485809,104.19673604360143,nll_glc_1,nll_uniy_0
222,222,cj2cr,1,1,4,0,83.17474855927861,42.82930044713233,99.81409750814993,nll_gcc_eq_0,nll_uniy_0
223,223,cj2cr,1,1,4,1,80.87429193775078,42.82930044713233,99.81409750814993,nll_gcc_eq_0,nll_uniy_0
224,224,cj2cr,1,1,4,2,49.98622586783844,42.82930044713233,99.81409750814993,nll_gcc_eq_0,nll_uniy_0
225,225,cj2cr,1,1,4,0,84.12454289630378,42.827753884824794,99.81100438353485,nll_gcc_eq_1,nll_uniy_0
226,226,cj2cr,1,1,4,1,79.61378010278658,42.827753884824794,99.81100438353485,nll_gcc_eq_1,nll_uniy_0
